start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 tempfile.py:571(TemporaryFile)
        1    0.000    0.000    0.001    0.001 dtypes.py:1(<module>)
        6    0.000    0.000    0.001    0.000 base.py:141(descriptors_by_start)
        3    0.000    0.000    0.001    0.000 __init__.py:685(_get_cachedir)
      359    0.001    0.000    0.001    0.000 sre_parse.py:312(_class_escape)
       40    0.000    0.000    0.001    0.000 config.py:410(register_option)
        1    0.000    0.000    0.001    0.001 cyaml.py:2(<module>)
        7    0.000    0.000    0.001    0.000 tempfile.py:249(_mkstemp_inner)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
        1    0.000    0.000    0.001    0.001 progressbar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:35(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:5(<module>)
        1    0.000    0.000    0.001    0.001 certs.py:13(<module>)
      653    0.000    0.000    0.001    0.000 __init__.py:422(<genexpr>)
      439    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     1352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pilutil.py:7(<module>)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 test_h5t.py:10(<module>)
      206    0.000    0.000    0.001    0.000 pyparsing.py:2327(__init__)
        1    0.000    0.000    0.001    0.001 groupby.py:922(GroupBy)
        9    0.000    0.000    0.001    0.000 tempfile.py:157(__next__)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 context.py:178(set_forkserver_preload)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
      369    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      112    0.001    0.000    0.001    0.000 __init__.py:1184(_fixupParents)
        1    0.000    0.000    0.001    0.001 pyopenssl.py:43(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 strings.py:1(<module>)
     7138    0.001    0.000    0.001    0.000 inspect.py:2447(kind)
        6    0.000    0.000    0.001    0.000 enum.py:547(<dictcomp>)
     2322    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
        1    0.000    0.000    0.001    0.001 image.py:5(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:660(_get_configdir)
        1    0.000    0.000    0.001    0.001 pickling_support.py:1(<module>)
       63    0.000    0.000    0.001    0.000 function_base.py:9(linspace)
        1    0.000    0.000    0.001    0.001 compatibility.py:2(<module>)
     1616    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
        4    0.000    0.000    0.001    0.000 tifffile.py:1961(_fromfile)
        1    0.000    0.000    0.001    0.001 texmanager.py:89(TexManager)
        1    0.000    0.000    0.001    0.001 pyav_reader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 test_h5p.py:10(<module>)
     2925    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 socks.py:23(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 test_h5.py:10(<module>)
       54    0.000    0.000    0.001    0.000 pyplot.py:2505(<lambda>)
        1    0.000    0.000    0.001    0.001 plan_patterns.py:1(<module>)
       81    0.000    0.000    0.001    0.000 posixpath.py:319(normpath)
        1    0.000    0.000    0.001    0.001 test_attrs.py:16(<module>)
     2045    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:190(cb)
     6442    0.001    0.000    0.001    0.000 inspect.py:2435(name)
       96    0.000    0.000    0.001    0.000 os.py:720(__getitem__)
  806/732    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 tzfile.py:4(<module>)
       90    0.000    0.000    0.001    0.000 pyparsing.py:2772(parseImpl)
        3    0.000    0.000    0.001    0.000 random.py:84(__init__)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        3    0.000    0.000    0.001    0.000 random.py:93(seed)
        1    0.000    0.000    0.001    0.001 selector_events.py:5(<module>)
        5    0.000    0.000    0.001    0.000 _make.py:452(_add_init)
        1    0.000    0.000    0.001    0.001 axes_grid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bioformats.py:1(<module>)
        9    0.000    0.000    0.001    0.000 parser.py:446(parse_block_mapping_value)
        7    0.000    0.000    0.001    0.000 event_streams.py:800(__init__)
        1    0.000    0.000    0.001    0.001 average.py:32(<module>)
       11    0.000    0.000    0.001    0.000 __init__.py:1195(resource_filename)
      870    0.000    0.000    0.001    0.000 __init__.py:2395(<lambda>)
        2    0.000    0.000    0.001    0.000 tempfile.py:305(mkstemp)
        4    0.000    0.000    0.001    0.000 __init__.py:1935(find_eggs_in_zip)
        1    0.000    0.000    0.001    0.001 categorical.py:3(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:985(__iter__)
        1    0.000    0.000    0.001    0.001 pyplot.py:1882(get_plot_commands)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:972(_recalculate)
       26    0.000    0.000    0.001    0.000 core.py:6353(__init__)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4142(streamline)
      328    0.001    0.000    0.001    0.000 _util.py:282(<listcomp>)
        1    0.000    0.000    0.001    0.001 pdfconfig.py:18(<module>)
        1    0.000    0.000    0.001    0.001 test_h5f.py:10(<module>)
        1    0.000    0.000    0.001    0.001 version.py:17(<module>)
        8    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       65    0.000    0.000    0.001    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6358(getdoc)
        3    0.000    0.000    0.001    0.000 _common.py:264(wrapper)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
        2    0.000    0.000    0.001    0.000 _util.py:1(<module>)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:919(exec_module)
       24    0.000    0.000    0.001    0.000 core.py:177(iter_style_files)
      182    0.000    0.000    0.001    0.000 posixpath.py:158(islink)
      100    0.000    0.000    0.001    0.000 pyparsing.py:1046(wrapper)
   105/97    0.000    0.000    0.001    0.000 pyparsing.py:3535(__str__)
        1    0.000    0.000    0.001    0.001 blas.py:143(<module>)
        1    0.000    0.000    0.001    0.001 test_objects.py:10(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:1916(BoxStyle)
        1    0.000    0.000    0.001    0.001 ols.py:3(<module>)
       96    0.000    0.000    0.001    0.000 proxy_metaclass.py:47(__init__)
        2    0.000    0.000    0.001    0.000 warnings.py:10(showwarning)
      218    0.000    0.000    0.001    0.000 codecs.py:318(decode)
        2    0.000    0.000    0.001    0.000 _utils.py:1(<module>)
        6    0.000    0.000    0.001    0.000 core.py:281(descriptors_by_start)
        1    0.000    0.000    0.001    0.001 _pslinux.py:263(set_scputimes_ntuple)
        1    0.000    0.000    0.001    0.001 core.py:514(LiveTable)
      328    0.000    0.000    0.001    0.000 _util.py:296(<listcomp>)
     4048    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 tifimage.py:44(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.001    0.001 strings.py:1297(StringMethods)
       12    0.000    0.000    0.001    0.000 event_streams.py:1339(__init__)
      106    0.000    0.000    0.001    0.000 pyparsing.py:2371(__init__)
       19    0.000    0.000    0.001    0.000 path.py:103(__init__)
     4349    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
     2272    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       36    0.000    0.000    0.001    0.000 tifffile.py:2854(__init__)
       20    0.000    0.000    0.001    0.000 event_streams.py:1039(_extend_update)
        1    0.000    0.000    0.001    0.001 plotting.py:2243(BoxPlot)
        1    0.000    0.000    0.001    0.001 event_streams.py:1177(__init__)
        1    0.000    0.000    0.001    0.001 panel.py:108(Panel)
        1    0.000    0.000    0.001    0.001 url.py:1(<module>)
        1    0.000    0.000    0.001    0.001 db_utils.py:128(query_dark)
        1    0.000    0.000    0.001    0.001 __init__.py:781(matplotlib_fname)
        2    0.000    0.000    0.001    0.000 warnings.py:22(formatwarning)
        1    0.000    0.000    0.001    0.001 posix.py:17(<module>)
      652    0.000    0.000    0.001    0.000 pyparsing.py:340(__new__)
       12    0.000    0.000    0.001    0.000 __init__.py:243(load)
        1    0.000    0.000    0.001    0.001 ellipse.py:31(<module>)
       17    0.000    0.000    0.001    0.000 scanner.py:665(fetch_plain)
    86/43    0.000    0.000    0.001    0.000 __init__.py:41(_extract)
      244    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 auth.py:8(<module>)
        1    0.000    0.000    0.001    0.001 pyav_reader.py:19(available)
        1    0.000    0.000    0.001    0.001 _spherical_voronoi.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _version.py:29(<module>)
        1    0.000    0.000    0.001    0.001 fitpack.py:23(<module>)
        1    0.000    0.000    0.001    0.001 test_dataset.py:17(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2255(EntryPoint)
       75    0.001    0.000    0.001    0.000 decoder.py:345(raw_decode)
       17    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
        6    0.000    0.000    0.001    0.000 core.py:315(<listcomp>)
        1    0.000    0.000    0.001    0.001 triangulation.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _core.py:149(<genexpr>)
      254    0.000    0.000    0.001    0.000 event_streams.py:271(curate_streams)
      118    0.000    0.000    0.001    0.000 pyparsing.py:732(copy)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.001    0.001 function.py:19(<module>)
       11    0.000    0.000    0.001    0.000 __init__.py:424(get_provider)
      277    0.000    0.000    0.001    0.000 enum.py:301(__setattr__)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
        1    0.000    0.000    0.001    0.001 attrs.py:15(<module>)
       36    0.000    0.000    0.001    0.000 tifffile.py:2872(_fromfile)
       17    0.000    0.000    0.001    0.000 textwrap.py:342(wrap)
        1    0.000    0.000    0.001    0.001 axes_divider.py:12(<module>)
      904    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      695    0.000    0.000    0.001    0.000 _signatures.py:625(<genexpr>)
      513    0.000    0.000    0.001    0.000 __init__.py:23(find_module)
        8    0.000    0.000    0.001    0.000 tempfile.py:118(_sanitize_params)
        1    0.000    0.000    0.001    0.001 getpass.py:12(<module>)
       13    0.000    0.000    0.001    0.000 ops.py:145(add_methods)
        1    0.000    0.000    0.001    0.001 multi.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:32(_update_doc)
        5    0.000    0.000    0.001    0.000 _make.py:116(_make_attr_tuple_class)
        1    0.000    0.000    0.001    0.001 base_registry.py:26(BaseRegistryRO)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
       86    0.000    0.000    0.001    0.000 __init__.py:18(is_non_string_sequence)
      132    0.000    0.000    0.001    0.000 subprocess.py:1211(<genexpr>)
        2    0.000    0.000    0.001    0.000 machines.py:46(__new__)
        1    0.000    0.000    0.001    0.001 _version.py:45(<module>)
        5    0.000    0.000    0.001    0.000 locks.py:106(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2264(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 threaded.py:5(<module>)
        5    0.000    0.000    0.001    0.000 pyparsing.py:3312(setResultsName)
     1193    0.000    0.000    0.001    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.001    0.001 group.py:28(Group)
       24    0.000    0.000    0.001    0.000 cloudpickle.py:384(save_builtin_function)
       12    0.000    0.000    0.001    0.000 pool.py:743(Process)
      101    0.000    0.000    0.001    0.000 sre_parse.py:260(getuntil)
        1    0.000    0.000    0.001    0.001 local.py:3(<module>)
       14    0.000    0.000    0.001    0.000 subprocess.py:1349(wait)
        1    0.000    0.000    0.001    0.001 window.py:999(Rolling)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2158(__init__)
       20    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.dot}
        4    0.000    0.000    0.001    0.000 tempfile.py:289(gettempdir)
        1    0.000    0.000    0.001    0.001 markers.py:84(<module>)
        1    0.000    0.000    0.001    0.001 forkserver.py:1(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:2664(ConnectionStyle)
        1    0.000    0.000    0.001    0.001 tempfile.py:188(_get_default_tempdir)
       75    0.000    0.000    0.001    0.000 uuid.py:106(__init__)
        1    0.000    0.000    0.001    0.001 printing.py:3(<module>)
        1    0.000    0.000    0.001    0.001 uiparser.py:41(<module>)
       49    0.000    0.000    0.001    0.000 nosetester.py:170(__init__)
        1    0.000    0.000    0.001    0.001 nanny.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:92(Index)
       17    0.000    0.000    0.001    0.000 scanner.py:1266(scan_plain)
        2    0.000    0.000    0.001    0.000 selectors.py:365(select)
        9    0.000    0.000    0.001    0.000 tempfile.py:146(rng)
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
       40    0.000    0.000    0.001    0.000 _collections_abc.py:594(get)
        1    0.000    0.000    0.001    0.001 _tqdm.py:9(<module>)
       53    0.000    0.000    0.001    0.000 sqlite.py:150(find)
      6/5    0.000    0.000    0.001    0.000 ioloop.py:192(current)
     1157    0.000    0.000    0.001    0.000 sre_parse.py:75(groups)
      127    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.001    0.001 window.py:1179(Expanding)
      113    0.000    0.000    0.001    0.000 __init__.py:1240(__init__)
       10    0.000    0.000    0.001    0.000 six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 ioloop.py:148(instance)
     1541    0.000    0.000    0.000    0.000 six.py:184(find_module)
       22    0.000    0.000    0.000    0.000 threading.py:755(__init__)
        3    0.000    0.000    0.000    0.000 functools.py:706(dispatch)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1558(_IPv4Constants)
      144    0.000    0.000    0.000    0.000 numeric.py:414(asarray)
      256    0.000    0.000    0.000    0.000 pyparsing.py:3398(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend_agg.py:21(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
        1    0.000    0.000    0.000    0.000 util.py:264(__new__)
        1    0.000    0.000    0.000    0.000 test_group.py:17(<module>)
        1    0.000    0.000    0.000    0.000 run_engine.py:85(RunEngine)
        1    0.000    0.000    0.000    0.000 pickle.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssl_.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 attrs.py:28(AttributeManager)
        1    0.000    0.000    0.000    0.000 _numdiff.py:1(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:105(MarkerStyle)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4640(originalTextFor)
      183    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 moments.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:152(DatetimeTZDtype)
        3    0.000    0.000    0.000    0.000 mongoquery.py:12(__init__)
      186    0.000    0.000    0.000    0.000 decorators.py:134(__call__)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1816(_has)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1459(__init__)
       35    0.000    0.000    0.000    0.000 delayed.py:31(to_task_dasks)
        1    0.000    0.000    0.000    0.000 pytables.py:1(<module>)
        1    0.000    0.000    0.000    0.000 handlers.py:24(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:368(__new__)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        3    0.000    0.000    0.000    0.000 mongoquery.py:16(refresh)
        1    0.000    0.000    0.000    0.000 cacheutils.py:31(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 version.py:93(StrictVersion)
      372    0.000    0.000    0.000    0.000 pickle.py:435(put)
        1    0.000    0.000    0.000    0.000 __init__.py:1627(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 slicerator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 batched.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _apipkg.py:25(initpkg)
        1    0.000    0.000    0.000    0.000 cine.py:10(<module>)
        1    0.000    0.000    0.000    0.000 axes_size.py:12(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 tools.py:373(load_geo)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1224(CookieJar)
     4641    0.000    0.000    0.000    0.000 copy.py:192(_deepcopy_atomic)
       15    0.000    0.000    0.000    0.000 textwrap.py:368(wrap)
        1    0.000    0.000    0.000    0.000 functools.py:666(_find_impl)
     2772    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 trf_linear.py:2(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:625(_compose_mro)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 finance.py:7(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1836(__mul__)
        4    0.000    0.000    0.000    0.000 __init__.py:1696(zipinfo)
     1044    0.000    0.000    0.000    0.000 pickle.py:212(write)
       80    0.000    0.000    0.000    0.000 cm.py:51(_reverse_cmap_spec)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:10(<module>)
        2    0.000    0.000    0.000    0.000 callbacks.py:1(<module>)
        8    0.000    0.000    0.000    0.000 twodim_base.py:490(vander)
        9    0.000    0.000    0.000    0.000 base.py:177(_add_delegate_accessors)
    52/28    0.000    0.000    0.000    0.000 configparser.py:762(get)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:881(AbstractBasicAuthHandler)
       19    0.000    0.000    0.000    0.000 parser.py:273(parse_node)
        4    0.000    0.000    0.000    0.000 __init__.py:1633(load)
        2    0.000    0.000    0.000    0.000 pdfconfig.py:235(getAtomConcentrations)
       12    0.000    0.000    0.000    0.000 pickle.py:767(save_list)
       13    0.000    0.000    0.000    0.000 lapack.py:459(_compute_lwork)
       71    0.000    0.000    0.000    0.000 typing.py:816(_next_in_mro)
       12    0.000    0.000    0.000    0.000 __init__.py:36(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:69(search_function)
       10    0.000    0.000    0.000    0.000 __init__.py:1537(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _core.py:784(_)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
       53    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
     10/1    0.000    0.000    0.000    0.000 _apipkg.py:69(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       12    0.000    0.000    0.000    0.000 generic.py:5637(_make_stat_function_ddof)
        1    0.000    0.000    0.000    0.000 kde.py:20(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2785(__str__)
      170    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2822(__init__)
        1    0.000    0.000    0.000    0.000 multi.py:48(MultiIndex)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 tzfile.py:43(<listcomp>)
        1    0.000    0.000    0.000    0.000 progress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 necompiler.py:11(<module>)
       56    0.000    0.000    0.000    0.000 contextlib.py:63(__exit__)
     24/4    0.000    0.000    0.000    0.000 pyparsing.py:1885(makeOptionalList)
        2    0.000    0.000    0.000    0.000 sqlite.py:249(_datum_col)
       27    0.000    0.000    0.000    0.000 scanner.py:749(scan_to_next_token)
        3    0.000    0.000    0.000    0.000 expr.py:215(disallowed)
       18    0.000    0.000    0.000    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
        1    0.000    0.000    0.000    0.000 engines.py:2(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
      328    0.000    0.000    0.000    0.000 _util.py:286(<listcomp>)
        2    0.000    0.000    0.000    0.000 functs.py:21(composition_analysis)
        1    0.000    0.000    0.000    0.000 _base.py:421(_AxesBase)
       16    0.000    0.000    0.000    0.000 generic.py:5657(_make_cum_function)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 itertoolz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transformxrayasfnormchris.py:19(<module>)
        2    0.000    0.000    0.000    0.000 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:9(glob)
     3444    0.000    0.000    0.000    0.000 inspect.py:2439(default)
        1    0.000    0.000    0.000    0.000 optimize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mstats.py:94(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3390(get_distribution_names)
       17    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 trf.py:95(<module>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:844(set_data)
      469    0.000    0.000    0.000    0.000 pyparsing.py:3540(<genexpr>)
        2    0.000    0.000    0.000    0.000 sqlite.py:230(_db)
       13    0.000    0.000    0.000    0.000 glob.py:39(_iglob)
        1    0.000    0.000    0.000    0.000 tdi.py:1(<module>)
       32    0.000    0.000    0.000    0.000 cm.py:34(revcmap)
      372    0.000    0.000    0.000    0.000 __init__.py:186(bind_method)
        1    0.000    0.000    0.000    0.000 distance.py:72(<module>)
       12    0.000    0.000    0.000    0.000 pickle.py:780(_batch_appends)
       19    0.000    0.000    0.000    0.000 event_streams.py:453(stop)
        1    0.000    0.000    0.000    0.000 gbq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sorteddict.py:3(<module>)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
        1    0.000    0.000    0.000    0.000 sqlite.py:88(__init__)
       40    0.000    0.000    0.000    0.000 utils.py:73(__call__)
      200    0.000    0.000    0.000    0.000 pyparsing.py:1461(set)
        1    0.000    0.000    0.000    0.000 sqlite.py:92(reconnect)
        1    0.000    0.000    0.000    0.000 imp.py:254(find_module)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
       14    0.000    0.000    0.000    0.000 expr.py:149(_filter_nodes)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:1928(find_distributions)
        1    0.000    0.000    0.000    0.000 artist.py:1063(ArtistInspector)
        4    0.000    0.000    0.000    0.000 __init__.py:2610(from_filename)
     3585    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1774(_pprint_table)
      236    0.000    0.000    0.000    0.000 tzinfo.py:27(memorized_datetime)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:9(<module>)
       48    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
     2739    0.000    0.000    0.000    0.000 inspect.py:2740(parameters)
      488    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:1(<module>)
      200    0.000    0.000    0.000    0.000 pyparsing.py:1458(get)
        1    0.000    0.000    0.000    0.000 inspect.py:278(getmembers)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
      328    0.000    0.000    0.000    0.000 _util.py:291(<listcomp>)
       18    0.000    0.000    0.000    0.000 event_streams.py:388(descriptor)
      245    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
      223    0.000    0.000    0.000    0.000 reader.py:99(forward)
       13    0.000    0.000    0.000    0.000 lapack.py:417(get_lapack_funcs)
        1    0.000    0.000    0.000    0.000 html.py:4(<module>)
      122    0.000    0.000    0.000    0.000 expr.py:151(<genexpr>)
      235    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      729    0.000    0.000    0.000    0.000 _signatures.py:633(<genexpr>)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1605(build)
        2    0.000    0.000    0.000    0.000 broker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resample.py:33(Resampler)
        4    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 zipfile.py:694(ZipExtFile)
       12    0.000    0.000    0.000    0.000 __init__.py:1541(_setup_prefix)
       87    0.000    0.000    0.000    0.000 docstring.py:44(__call__)
        1    0.000    0.000    0.000    0.000 pdfgetter.py:17(<module>)
       13    0.000    0.000    0.000    0.000 blas.py:226(_get_funcs)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        4    0.000    0.000    0.000    0.000 tokenize.py:450(open)
        8    0.000    0.000    0.000    0.000 generic.py:5692(_make_logical_function)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      237    0.000    0.000    0.000    0.000 scanner.py:142(need_more_tokens)
      218    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 pyparsing.py:4409(delimitedList)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        2    0.000    0.000    0.000    0.000 tifffile.py:3333(__init__)
        1    0.000    0.000    0.000    0.000 serialize.py:1(<module>)
       67    0.000    0.000    0.000    0.000 typing.py:326(_type_vars)
     1384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1192(<genexpr>)
      275    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      428    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
