start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.154    0.154    0.164    0.164 {pyFAI.ext._geometry.calc_chi}
        8    0.000    0.000    0.151    0.019 core.py:1(<module>)
     1951    0.002    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:1141(find_spec)
        4    0.025    0.006    0.148    0.037 geometry.py:204(_calc_cartesian_positions)
1952/1951    0.009    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:1109(_get_spec)
        5    0.146    0.029    0.146    0.029 detectors.py:429(calc_cartesian_positions)
     1175    0.003    0.000    0.145    0.000 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
     1175    0.140    0.000    0.140    0.000 {built-in method marshal.loads}
     4349    0.039    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:1223(find_spec)
        1    0.000    0.000    0.116    0.116 event_streams.py:2(<module>)
        1    0.000    0.000    0.115    0.115 path.py:502(contains_points)
        1    0.114    0.114    0.114    0.114 {built-in method matplotlib._path.points_in_path}
      166    0.009    0.000    0.112    0.001 {built-in method builtins.sorted}
       52    0.000    0.000    0.111    0.002 __init__.py:1966(_by_version_descending)
      136    0.041    0.000    0.107    0.001 __init__.py:359(namedtuple)
     3846    0.104    0.000    0.104    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.101    0.101 distributions.py:8(<module>)
        1    0.000    0.000    0.091    0.091 cbook.py:7(<module>)
        1    0.000    0.000    0.090    0.090 __init__.py:641(_build_master)
        1    0.000    0.000    0.090    0.090 __init__.py:628(__init__)
        1    0.000    0.000    0.090    0.090 fit2d.py:1(<module>)
        2    0.000    0.000    0.090    0.045 __init__.py:25(<module>)
     5092    0.090    0.000    0.090    0.000 {built-in method numpy.core.multiarray.array}
        1    0.000    0.000    0.086    0.086 __init__.py:106(<module>)
       11    0.000    0.000    0.085    0.008 _methods.py:25(_amax)
        6    0.000    0.000    0.085    0.014 __init__.py:10(<module>)
        8    0.000    0.000    0.085    0.011 fromnumeric.py:2752(around)
        4    0.085    0.021    0.085    0.021 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.085    0.085 openimage.py:37(<module>)
        1    0.001    0.001    0.085    0.085 _continuous_distns.py:5(<module>)
        7    0.000    0.000    0.081    0.012 {method 'max' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.080    0.040 colorbar.py:20(<module>)
   117832    0.035    0.000    0.080    0.000 sre_parse.py:247(get)
       94    0.003    0.000    0.079    0.001 _distn_infrastructure.py:1480(__init__)
     2080    0.003    0.000    0.079    0.000 __init__.py:1981(_by_version)
        1    0.000    0.000    0.078    0.078 dask.py:1(<module>)
        1    0.000    0.000    0.076    0.076 image_sequence.py:1(<module>)
        1    0.000    0.000    0.071    0.071 api.py:5(<module>)
     2080    0.003    0.000    0.070    0.000 __init__.py:1987(<listcomp>)
        1    0.000    0.000    0.069    0.069 add_newdocs.py:10(<module>)
        2    0.000    0.000    0.068    0.034 geometry.py:418(rArray)
     5337    0.007    0.000    0.067    0.000 version.py:24(parse)
        1    0.000    0.000    0.062    0.062 calib.py:16(<module>)
        1    0.000    0.000    0.062    0.062 distributed.py:2(<module>)
        1    0.000    0.000    0.061    0.061 geometry.py:361(rFunction)
        1    0.000    0.000    0.058    0.058 hdf5image.py:39(<module>)
        1    0.000    0.000    0.057    0.057 __init__.py:13(<module>)
        4    0.000    0.000    0.056    0.014 __init__.py:41(<module>)
       16    0.055    0.003    0.055    0.003 {method 'flatten' of 'numpy.ndarray' objects}
      244    0.001    0.000    0.055    0.000 sre_compile.py:516(_code)
        1    0.000    0.000    0.054    0.054 type_check.py:3(<module>)
        2    0.000    0.000    0.053    0.027 sqlite.py:1(<module>)
      107    0.002    0.000    0.052    0.000 _distn_infrastructure.py:702(_construct_doc)
      298    0.021    0.000    0.051    0.000 doccer.py:12(docformat)
       12    0.000    0.000    0.050    0.004 numeric.py:535(ascontiguousarray)
        1    0.000    0.000    0.049    0.049 base_registry.py:1(<module>)
        1    0.000    0.000    0.049    0.049 figure.py:12(<module>)
       13    0.001    0.000    0.048    0.004 subprocess.py:563(__init__)
   120464    0.047    0.000    0.047    0.000 sre_parse.py:226(__next)
       13    0.002    0.000    0.047    0.004 subprocess.py:1159(_execute_child)
      350    0.002    0.000    0.046    0.000 __init__.py:2418(from_location)
    23544    0.017    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.043    0.043 _subplots.py:1(<module>)
        1    0.000    0.000    0.043    0.043 contour.py:4(<module>)
        1    0.000    0.000    0.042    0.042 validators.py:1(<module>)
     5016    0.004    0.000    0.041    0.000 version.py:74(__init__)
        3    0.000    0.000    0.041    0.014 _version.py:419(get_versions)
        3    0.000    0.000    0.040    0.013 _version.py:179(git_pieces_from_vcs)
 1897/244    0.009    0.000    0.040    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.040    0.040 _io.py:1(<module>)
        2    0.001    0.000    0.040    0.020 pyparsing.py:61(<module>)
        6    0.000    0.000    0.039    0.007 _version.py:63(run_command)
        1    0.000    0.000    0.039    0.039 __init__.py:632(<module>)
        1    0.000    0.000    0.039    0.039 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.039    0.039 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.038    0.038 __init__.py:31(<module>)
        1    0.000    0.000    0.038    0.038 rcsetup.py:15(<module>)
        1    0.001    0.001    0.037    0.037 backend_qt5.py:1(<module>)
        1    0.000    0.000    0.037    0.037 groupby.py:1(<module>)
     5016    0.014    0.000    0.037    0.000 version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.037    0.037 colorconv.py:52(<module>)
  641/625    0.001    0.000    0.036    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.036    0.018 __init__.py:52(<module>)
        1    0.000    0.000    0.035    0.035 _axes.py:1(<module>)
1529/1208    0.006    0.000    0.035    0.000 inspect.py:2147(_signature_from_callable)
        1    0.000    0.000    0.035    0.035 figureoptions.py:8(<module>)
    10343    0.035    0.000    0.035    0.000 {built-in method posix.stat}
      758    0.002    0.000    0.035    0.000 sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.035    0.035 formlayout.py:34(<module>)
        1    0.000    0.000    0.035    0.035 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.034    0.034 gen.py:76(<module>)
        1    0.000    0.000    0.034    0.034 qt_compat.py:2(<module>)
     3822    0.002    0.000    0.033    0.000 numeric.py:484(asanyarray)
      758    0.029    0.000    0.033    0.000 sre_compile.py:248(_optimize_charset)
     8714    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.032    0.032 text.py:3(<module>)
     5940    0.012    0.000    0.032    0.000 version.py:198(__init__)
       13    0.026    0.002    0.031    0.002 ops.py:41(_create_methods)
      290    0.001    0.000    0.030    0.000 __init__.py:2760(_reload_version)
        1    0.000    0.000    0.030    0.030 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.030    0.030 _bvp.py:1(<module>)
        1    0.000    0.000    0.030    0.030 reshape.py:3(<module>)
        1    0.000    0.000    0.030    0.030 sparse.py:4(<module>)
        6    0.000    0.000    0.029    0.005 shape_base.py:61(atleast_2d)
      290    0.001    0.000    0.029    0.000 __init__.py:2390(_version_from_file)
     1356    0.007    0.000    0.029    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.029    0.029 frame.py:10(<module>)
        1    0.000    0.000    0.028    0.028 pool.py:574(__exit__)
        1    0.000    0.000    0.028    0.028 pool.py:501(terminate)
        1    0.000    0.000    0.028    0.028 util.py:167(__call__)
        1    0.000    0.000    0.028    0.028 pool.py:525(_terminate_pool)
        3    0.000    0.000    0.028    0.009 threading.py:1022(join)
        4    0.000    0.000    0.028    0.007 threading.py:1060(_wait_for_tstate_lock)
        1    0.000    0.000    0.028    0.028 requirements.py:4(<module>)
       19    0.000    0.000    0.028    0.001 six.py:91(__get__)
       23    0.000    0.000    0.028    0.001 six.py:80(_import_module)
       61    0.000    0.000    0.028    0.000 _core.py:277(documents)
        7    0.000    0.000    0.027    0.004 ops.py:166(add_special_arithmetic_methods)
       61    0.000    0.000    0.027    0.000 _core.py:1470(get_documents)
        6    0.000    0.000    0.027    0.005 api.py:3(<module>)
        4    0.027    0.007    0.027    0.007 numeric.py:1936(indices)
       15    0.000    0.000    0.027    0.002 six.py:159(_resolve)
